X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
TGFa (pg/ml),HE4 (pg/ml),0.75445,0.6730218,0.29309002,0.75445,5.9541965,0.28535637
TGFa (pg/ml),sFas (pg/ml),0.70566,0.7049206,0.34706,0.70566,5.9541965,0.02719179
TGFa (pg/ml),CYFRA 21-1 (pg/ml),0.65085,0.6508345,0.2737,0.65085,5.9541965,0.0039393497
sFas (pg/ml),HE4 (pg/ml),0.60164,0.60128635,0.29263002,0.60164,5.9541965,-0.018805237
sFas (pg/ml),G-CSF (pg/ml),0.55473,0.55472726,0.23284,0.55473,5.9541965,0.0016499461
TGFa (pg/ml),CA19-9 (U/ml),0.54999,0.5499892,0.22013,0.54999,5.9541965,-8.6857716E-4
TGFa (pg/ml),IL-6 (pg/ml),0.52849,0.52813435,0.16330001,0.52849,5.9541965,0.018859733
sFas (pg/ml),CYFRA 21-1 (pg/ml),0.52205,0.5203826,0.28254002,0.52205,5.807355,0.040834386
TGFa (pg/ml),FGF2 (pg/ml),0.51795,0.5096939,0.31239998,0.51795,5.9541965,0.09086292
HE4 (pg/ml),CYFRA 21-1 (pg/ml),0.507,0.5069998,0.07424,0.50491,5.97728,4.584146E-4
Thrombospondin-2 (pg/ml),TGFa (pg/ml),0.50433,0.5038081,0.30443,0.50433,5.9541965,0.022845088
IL-6 (pg/ml),HE4 (pg/ml),0.49936,0.4965089,0.09968001,0.49936,5.9541965,0.053395547
TGFa (pg/ml),CA-125 (U/ml),0.49462,0.49460393,0.22224998,0.49462,5.9541965,-0.0040088003
HE4 (pg/ml),FGF2 (pg/ml),0.46912,0.45933798,0.19116,0.46912,5.9541965,0.09890405
TGFa (pg/ml),G-CSF (pg/ml),0.46909,0.4690374,0.13680002,0.46909,5.9541965,-0.0072520426
TGFa (pg/ml),AFP (pg/ml),0.46807,0.46805868,0.20826998,0.46807,5.9541965,0.003364876
sFas (pg/ml),IL-6 (pg/ml),0.46367,0.46184754,0.101390004,0.46367,5.5849624,-0.04269004
sFas (pg/ml),CA19-9 (U/ml),0.44469,0.4444445,0.195,0.44469,5.3923173,0.015667528
sFas (pg/ml),CA-125 (U/ml),0.43105,0.4309093,0.25678003,0.43105,5.9068904,-0.011861711
TIMP-1 (pg/ml),GDF15 (ng/ml),0.4303,0.21508822,0.017019987,0.4303,5.9541965,0.46390924
HE4 (pg/ml),CA19-9 (U/ml),0.42218,0.41852424,0.11952,0.40217,5.9068904,0.060462903
IL-6 (pg/ml),G-CSF (pg/ml),0.42025,-0.18583268,0.083680004,0.42025,5.9541965,0.77851313
