X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
TGFa (pg/ml),Cancer or Not,0.81692,0.8161246,0.71063995,0.81566,6.491853,0.028201804
HE4 (pg/ml),Cancer or Not,0.81627,0.7967572,0.74794,0.81415,6.491853,0.13968813
CYFRA 21-1 (pg/ml),Cancer or Not,0.80244,0.7989836,0.6602,0.80061,6.491853,0.058791034
TGFa (pg/ml),HE4 (pg/ml),0.77841,0.69675124,0.19033998,0.77209,6.491853,0.28576005
CA19-9 (U/ml),Cancer or Not,0.75181,0.7456628,0.65853,0.74999,6.491853,0.07840397
IL-6 (pg/ml),Cancer or Not,0.72724,0.6924135,0.51254004,0.72412,6.491853,0.18661869
TGFa (pg/ml),CYFRA 21-1 (pg/ml),0.64992,0.64988756,0.109579995,0.64832,6.491853,0.00569279
TGFa (pg/ml),sFas (pg/ml),0.63606,0.6354585,0.30209,0.63606,6.357552,0.02452449
HE4 (pg/ml),CYFRA 21-1 (pg/ml),0.61662,0.6165398,0.059530005,0.60163,6.491853,0.008956037
TGFa (pg/ml),IL-6 (pg/ml),0.60299,0.6022383,0.087249994,0.60037,6.491853,0.027416999
HGF (pg/ml),Cancer or Not,0.59593,0.5371179,0.40980998,0.59271,6.491853,0.24251208
TGFa (pg/ml),CA19-9 (U/ml),0.58643,0.58642817,0.14964,0.58643,6.3923173,0.001355607
sFas (pg/ml),HE4 (pg/ml),0.57199,0.57184863,0.32799,0.56755,6.491853,-0.011890824
HE4 (pg/ml),FGF2 (pg/ml),0.56079,0.54342127,0.3073,0.5566,6.491853,0.1317904
IL-8 (pg/ml),Cancer or Not,0.55826,0.5517354,0.284,0.55623,6.491853,0.08077511
IL-6 (pg/ml),CYFRA 21-1 (pg/ml),0.5511,0.5510637,0.08811,0.54949,6.491853,0.00602659
Thrombospondin-2 (pg/ml),Cancer or Not,0.5496,0.5366285,0.5123,0.54741,6.491853,0.113892466
G-CSF (pg/ml),Cancer or Not,0.54928,0.5335159,0.51456,0.54705,6.491853,0.12555528
AFP (pg/ml),Cancer or Not,0.54533,0.5365968,0.50431997,0.5432,6.491853,0.093451515
IL-6 (pg/ml),HE4 (pg/ml),0.54359,0.53718126,0.058779985,0.54193,6.491853,0.080054685
HE4 (pg/ml),CA19-9 (U/ml),0.53083,0.5258447,0.114139974,0.52901,6.491853,0.07060689
TGFa (pg/ml),IL-8 (pg/ml),0.52349,0.5230328,0.15127,0.52263,6.491853,0.021382831
IL-8 (pg/ml),HE4 (pg/ml),0.51422,0.5141317,0.18258002,0.51422,6.4594316,0.009395842
TGFa (pg/ml),AFP (pg/ml),0.51082,0.5107782,0.16448998,0.50904,6.491853,0.006464996
TGFa (pg/ml),FGF2 (pg/ml),0.50839,0.50040066,0.2942,0.50375,6.491853,0.089383304
