X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
TGFa (pg/ml),HE4 (pg/ml),0.9608,0.9581286,0.56373,0.95112,4.5849624,0.05168586
TGFa (pg/ml),CA19-9 (U/ml),0.7641,0.7640571,0.33572,0.74992,4.5849624,-0.006549945
TGFa (pg/ml),CYFRA 21-1 (pg/ml),0.74037,0.7403178,0.28300998,0.72955,4.5849624,-0.007221917
Thrombospondin-2 (pg/ml),TGFa (pg/ml),0.6763,0.6750896,0.30085,0.64969,4.5849624,-0.03479073
TGFa (pg/ml),IL-6 (pg/ml),0.67618,0.6755301,0.24987,0.65549,4.5849624,-0.02549415
HE4 (pg/ml),CYFRA 21-1 (pg/ml),0.65299,0.649666,0.17953,0.62396,4.5849624,0.057653666
IL-6 (pg/ml),HE4 (pg/ml),0.64279,0.5159837,0.10922003,0.63001,4.5849624,0.35609877
TGFa (pg/ml),CA-125 (U/ml),0.63124,0.6310786,0.32099,0.61547,4.5849624,-0.012704792
TGFa (pg/ml),AFP (pg/ml),0.62455,0.60368586,0.27951998,0.60788,4.5849624,0.14444414
TGFa (pg/ml),FGF2 (pg/ml),0.61417,0.5699261,0.35992002,0.59393,4.5849624,0.2103424
HE4 (pg/ml),CA19-9 (U/ml),0.58283,0.55151105,0.120939985,0.56546,4.5849624,0.1769716
TGFa (pg/ml),sFas (pg/ml),0.5499,0.5497164,0.22318,0.5499,4.4594316,-0.013548586
HE4 (pg/ml),AFP (pg/ml),0.53744,0.4288301,0.12114,0.52325,4.5849624,0.32956016
sFas (pg/ml),IL-6 (pg/ml),0.53364,0.519504,0.12081003,0.48799,4.5849624,-0.118895024
sFas (pg/ml),HE4 (pg/ml),0.53154,0.5284637,0.20325997,0.44105,4.5849624,-0.05546416
HE4 (pg/ml),CA-125 (U/ml),0.52511,0.50934255,0.15108998,0.51193,4.5849624,0.12556864
IL-8 (pg/ml),HE4 (pg/ml),0.52034,0.52025187,0.21795002,0.51109,4.5849624,0.009390309
TGFa (pg/ml),HGF (pg/ml),0.51856,0.5184945,0.18195,0.50216,4.5849624,0.008094163
Myeloperoxidase (ng/ml),HGF (pg/ml),0.51767,0.48636085,0.08966002,0.5045,4.5849624,0.1769439
IL-6 (pg/ml),CA19-9 (U/ml),0.51741,0.5167869,0.18015999,0.4722,4.5849624,-0.024962269
HE4 (pg/ml),FGF2 (pg/ml),0.51295,0.50423765,0.1774,0.46782,4.5849624,0.09334013
CYFRA 21-1 (pg/ml),CA19-9 (U/ml),0.51287,0.26036623,0.08045,0.50183,4.5849624,0.50249755
IL-6 (pg/ml),CYFRA 21-1 (pg/ml),0.48858,0.4884882,0.08245,0.48042,4.5849624,0.009580349
TGFa (pg/ml),IL-8 (pg/ml),0.48132,0.4746874,0.17035002,0.46108,4.5849624,0.081440695
TGFa (pg/ml),G-CSF (pg/ml),0.46914,0.4426524,0.24068,0.44768,4.5849624,0.16275004
HGF (pg/ml),HE4 (pg/ml),0.4672,0.464216,0.10306999,0.45457,4.5849624,-0.054626107
IL-8 (pg/ml),HGF (pg/ml),0.46443,0.43229565,0.17032,0.4508,4.5849624,0.17926061
sFas (pg/ml),CYFRA 21-1 (pg/ml),0.46434,0.45903155,0.17280999,0.43768,4.5849624,0.072859176
Thrombospondin-2 (pg/ml),HE4 (pg/ml),0.4642,0.45596537,0.07556999,0.45285,4.5849624,0.090744816
FGF2 (pg/ml),CYFRA 21-1 (pg/ml),0.46279,0.41523603,0.15461999,0.44993,4.5849624,0.21806878
NSE (ng/ml),DKK1 (ng/ml),0.4618,0.06009525,0.079380006,0.45154,4.5849624,0.6338018
IL-8 (pg/ml),CYFRA 21-1 (pg/ml),0.46066,0.35693002,0.09795001,0.45126,4.5849624,0.32207143
