X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
TGFa (pg/ml),sFas (pg/ml),0.75503,0.75025624,0.33168,0.75503,5.087463,0.06909218
sFas (pg/ml),CA19-9 (U/ml),0.68785,0.68511987,0.35167003,0.68785,5.087463,0.05225041
sFas (pg/ml),HE4 (pg/ml),0.67902,0.6648654,0.36415,0.67902,5.087463,-0.11897322
TGFa (pg/ml),HE4 (pg/ml),0.64631,0.646106,0.20191997,0.64631,5.087463,-0.014282188
sFas (pg/ml),G-CSF (pg/ml),0.64493,0.63993335,0.25991002,0.64493,5.087463,0.07068701
sFas (pg/ml),CYFRA 21-1 (pg/ml),0.62355,0.62345093,0.25433004,0.62355,5.087463,0.009952293
TGFa (pg/ml),CYFRA 21-1 (pg/ml),0.62261,0.62110436,0.19447999,0.62261,5.087463,0.03880234
TGFa (pg/ml),CA19-9 (U/ml),0.5901,0.5897392,0.22125,0.5901,5.087463,0.018994361
sFas (pg/ml),AFP (pg/ml),0.57344,0.5454295,0.37574002,0.57344,5.087463,0.16736336
sFas (pg/ml),CA-125 (U/ml),0.57264,0.5442268,0.21013,0.57264,5.087463,0.1685621
TGFa (pg/ml),AFP (pg/ml),0.52798,0.5209555,0.19609001,0.52798,5.087463,0.08381252
Thrombospondin-2 (pg/ml),sFas (pg/ml),0.51424,0.5055764,0.28835005,0.51424,5.087463,0.093078606
TGFa (pg/ml),CA-125 (U/ml),0.51144,0.5090045,0.12259999,0.51144,5.087463,0.049350873
TGFa (pg/ml),G-CSF (pg/ml),0.50606,0.5054549,0.09197,0.50606,5.087463,0.024598677
sFas (pg/ml),IL-6 (pg/ml),0.50231,0.50230956,0.14962998,0.50231,5.087463,6.3919596E-4
Thrombospondin-2 (pg/ml),TGFa (pg/ml),0.49059,0.48962206,0.23658001,0.49059,5.087463,-0.031112127
TGFa (pg/ml),IL-6 (pg/ml),0.47814,0.47750607,0.12735,0.47814,5.087463,0.025177626
HE4 (pg/ml),CYFRA 21-1 (pg/ml),0.47078,0.4707511,0.06915,0.47078,5.087463,0.005372608
DKK1 (ng/ml),CYFRA 21-1 (pg/ml),0.46621,0.33937907,0.19144002,0.46621,5.087463,0.3561333
TIMP-1 (pg/ml),GDF15 (ng/ml),0.46523,0.20040175,0.037070006,0.46523,5.087463,0.51461464
G-CSF (pg/ml),CD44 (ng/ml),0.45566,0.43458623,0.106340006,0.45566,5.087463,-0.145168
CD44 (ng/ml),CA19-9 (U/ml),0.44323,0.42619172,0.2426,0.44323,5.087463,-0.13053077
IL-6 (pg/ml),G-CSF (pg/ml),0.44074,-0.2908733,0.07029,0.43237,5.044394,0.85534394
OPG (ng/ml),GDF15 (ng/ml),0.43812,0.31023258,0.073520005,0.43812,5.087463,0.3576135
CD44 (ng/ml),CA-125 (U/ml),0.43689,0.43606937,0.26252002,0.43689,5.087463,-0.02864669
CA19-9 (U/ml),CA-125 (U/ml),0.43688,0.4282998,0.088860005,0.41875,5.129283,0.09262918
CYFRA 21-1 (pg/ml),CA19-9 (U/ml),0.43369,0.36305913,0.101349995,0.43369,5.087463,0.2657647
HE4 (pg/ml),CA19-9 (U/ml),0.43246,0.42976215,0.06555998,0.43246,5.087463,-0.051940817
HE4 (pg/ml),CD44 (ng/ml),0.42877,0.41816702,0.17364,0.42877,5.087463,0.10297083
IL-8 (pg/ml),IL-6 (pg/ml),0.42608,0.42097616,0.11631,0.42608,5.087463,0.071441166
HE4 (pg/ml),CA-125 (U/ml),0.42429,0.42406866,0.13146001,0.4198,5.044394,-0.0148771405
CYFRA 21-1 (pg/ml),AFP (pg/ml),0.42311,0.42309594,0.11836001,0.42311,5.087463,-0.0037495212
TGFa (pg/ml),HGF (pg/ml),0.42107,0.28355035,0.15472001,0.42107,5.087463,0.37083644
sHER2/sEGFR2/sErbB2 (pg/ml),sEGFR (pg/ml),0.4168,0.014307499,0.04952,0.4168,5.087463,0.63442296
CYFRA 21-1 (pg/ml),CD44 (ng/ml),0.4163,0.41556975,0.23372,0.4163,5.087463,-0.027023148
IL-6 (pg/ml),HGF (pg/ml),0.4147,0.33178058,0.044959992,0.4147,5.087463,0.2879573
TGFa (pg/ml),FGF2 (pg/ml),0.41347,0.31441933,0.20264,0.41347,5.087463,0.31472316
sFas (pg/ml),HGF (pg/ml),0.4111,0.3612779,0.13324001,0.4111,5.087463,0.2232086
TGFa (pg/ml),CD44 (ng/ml),0.40919,0.39891857,0.24696001,0.40919,5.087463,-0.101348
FGF2 (pg/ml),CYFRA 21-1 (pg/ml),0.40799,0.34334975,0.16172001,0.40799,5.087463,0.25424448
