X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
TGFa (pg/ml),sFas (pg/ml),0.99973,0.9982075,0.39535,0.99973,3.0,-0.039019275
sFas (pg/ml),G-CSF (pg/ml),0.96853,0.67236257,0.35148,0.93341,4.0,0.5442127
sFas (pg/ml),HE4 (pg/ml),0.96127,0.96126443,0.31557,0.95305,4.0,0.0023481573
HE4 (pg/ml),CYFRA 21-1 (pg/ml),0.91239,0.90838826,0.26195002,0.91239,3.5849626,0.06325923
TGFa (pg/ml),HE4 (pg/ml),0.90826,0.80822176,0.13336998,0.8958,4.0,0.31628823
IL-6 (pg/ml),HE4 (pg/ml),0.90506,0.7996709,0.176,0.888,4.0,0.3246369
sFas (pg/ml),CYFRA 21-1 (pg/ml),0.8845,0.8803117,0.31719005,0.85278,4.0,-0.064716876
TGFa (pg/ml),IL-6 (pg/ml),0.8497,0.8232766,0.15841001,0.83345,4.0,0.16255276
TGFa (pg/ml),CYFRA 21-1 (pg/ml),0.83976,0.82939535,0.21133,0.82039,4.0,0.101806864
sFas (pg/ml),IL-6 (pg/ml),0.80877,0.5957624,0.19231999,0.80496,4.0,-0.4615275
TGFa (pg/ml),CA19-9 (U/ml),0.75167,0.7504728,0.26718,0.73593,4.0,0.0346008
TGFa (pg/ml),FGF2 (pg/ml),0.74457,0.41424882,0.52129,0.65983,4.0,0.57473576
TGFa (pg/ml),IL-8 (pg/ml),0.7427,0.7414877,0.07496995,0.7427,3.807355,-0.034817867
HE4 (pg/ml),CA19-9 (U/ml),0.74147,0.7392114,0.24881,0.71671,4.0,-0.047524497
HE4 (pg/ml),FGF2 (pg/ml),0.73719,0.5963184,0.52238,0.70037,4.0,0.37532866
sFas (pg/ml),IL-8 (pg/ml),0.73597,0.6379712,0.19574004,0.72948,4.0,-0.3130476
sFas (pg/ml),AFP (pg/ml),0.73355,0.7096472,0.28797,0.70606,4.0,0.15460533
IL-6 (pg/ml),G-CSF (pg/ml),0.73044,0.723819,0.27038002,0.73044,3.807355,-0.0813697
TGFa (pg/ml),G-CSF (pg/ml),0.71669,0.7125048,0.08042002,0.68856,4.0,0.06469293
IL-8 (pg/ml),HE4 (pg/ml),0.71385,0.6915853,0.13171002,0.71385,3.807355,-0.14921369
IL-8 (pg/ml),CYFRA 21-1 (pg/ml),0.70235,0.33927423,0.14065003,0.70235,3.807355,0.6025577
IL-6 (pg/ml),CYFRA 21-1 (pg/ml),0.6947,0.6574063,0.1586,0.6947,3.5849626,-0.19311589
HE4 (pg/ml),G-CSF (pg/ml),0.67987,0.665051,0.1063,0.64801,4.0,0.121733524
G-CSF (pg/ml),CYFRA 21-1 (pg/ml),0.66844,0.6677201,0.15921998,0.66844,3.807355,0.026831299
Thrombospondin-2 (pg/ml),TGFa (pg/ml),0.6562,0.65573984,0.27267,0.62117,4.0,-0.021451376
FGF2 (pg/ml),CYFRA 21-1 (pg/ml),0.65241,0.6107434,0.41276997,0.62655,4.0,0.20412396
TGFa (pg/ml),CA-125 (U/ml),0.64834,0.6441904,0.27863,0.61084,4.0,0.0644174
IL-8 (pg/ml),G-CSF (pg/ml),0.63977,0.5563221,0.08249998,0.62641,4.0,-0.28887346
Thrombospondin-2 (pg/ml),sFas (pg/ml),0.6395,0.63822794,0.21948001,0.60139,4.0,-0.035666414
TGFa (pg/ml),AFP (pg/ml),0.63245,0.5809049,0.18335998,0.60188,4.0,0.22703537
TIMP-2 (pg/ml),TGFa (pg/ml),0.61423,0.56062764,0.21999997,0.59898,4.0,-0.23152174
HE4 (pg/ml),CA-125 (U/ml),0.61341,0.6128655,0.19896999,0.59955,4.0,0.023334518
sFas (pg/ml),FGF2 (pg/ml),0.60926,0.561791,0.37527,0.53563,4.0,0.21787381
Thrombospondin-2 (pg/ml),HE4 (pg/ml),0.59993,0.57349604,0.23082,0.5602,4.0,0.16258518
CYFRA 21-1 (pg/ml),CA19-9 (U/ml),0.59548,0.57120734,0.16139,0.57863,4.0,0.15579692
IL-8 (pg/ml),IL-6 (pg/ml),0.5868,0.45857304,0.12391999,0.5868,3.807355,-0.3580879
Thrombospondin-2 (pg/ml),CYFRA 21-1 (pg/ml),0.57531,0.5753097,0.19319999,0.53549,4.0,-5.7185296E-4
IL-6 (pg/ml),AFP (pg/ml),0.57337,0.567868,0.21910998,0.57337,3.807355,-0.07417537
CYFRA 21-1 (pg/ml),CA-125 (U/ml),0.57156,0.33948636,0.26847,0.55306,4.0,0.48174027
Thrombospondin-2 (pg/ml),IL-8 (pg/ml),0.56886,0.5670642,0.21079999,0.49651,4.0,0.042376734
TIMP-2 (pg/ml),TIMP-1 (pg/ml),0.56057,0.14749819,0.056250006,0.53999,4.0,0.64270663
TGFa (pg/ml),HGF (pg/ml),0.54731,0.54660577,0.2669,0.5184,4.0,0.026536863
TIMP-2 (pg/ml),G-CSF (pg/ml),0.5472,0.3361156,0.19342002,0.52071,4.0,-0.45943925
HE4 (pg/ml),AFP (pg/ml),0.53269,0.5315352,0.11363998,0.49757,4.0,0.033981908
Thrombospondin-2 (pg/ml),IL-6 (pg/ml),0.52284,0.49262643,0.13856003,0.5018,4.0,0.17382059
IL-6 (pg/ml),CA19-9 (U/ml),0.51901,0.5097273,0.13175002,0.4882,4.0,-0.09634676
HGF (pg/ml),HE4 (pg/ml),0.51675,0.4844249,0.22762999,0.48976,4.0,0.17979181
CYFRA 21-1 (pg/ml),AFP (pg/ml),0.51485,0.5147228,0.084529996,0.47862,4.0,-0.011277417
HGF (pg/ml),CYFRA 21-1 (pg/ml),0.50505,0.45930463,0.23550001,0.4851,4.0,0.21388169
TIMP-1 (pg/ml),CYFRA 21-1 (pg/ml),0.50043,0.37868494,0.15162,0.47397,4.0,0.34891984
sFas (pg/ml),CA19-9 (U/ml),0.49577,0.47931704,0.13909999,0.47234,3.9068906,-0.12826915
sFas (pg/ml),HGF (pg/ml),0.49467,0.4760826,0.21884,0.45571,4.0,0.13633566
sFas (pg/ml),CA-125 (U/ml),0.48937,0.4889509,0.1573,0.4706,4.0,-0.020471696
IL-6 (pg/ml),FGF2 (pg/ml),0.48852,0.4778626,0.2825,0.45392,4.0,0.10323461
CA19-9 (U/ml),CA-125 (U/ml),0.48287,0.06122884,0.12704998,0.46014,4.0,0.649339
Thrombospondin-2 (pg/ml),CA19-9 (U/ml),0.47486,0.47072428,0.25075,0.4279,4.0,-0.06430962
IL-6 (pg/ml),HGF (pg/ml),0.47476,0.4747118,0.17897001,0.44418,4.0,0.0069419756
IL-8 (pg/ml),CA-125 (U/ml),0.47177,0.41529554,0.1611,0.47177,3.807355,0.23764355
sPECAM-1 (pg/ml),sHER2/sEGFR2/sErbB2 (pg/ml),0.46332,0.19998136,0.08771002,0.43728,4.0,0.5131653
TIMP-2 (pg/ml),OPG (ng/ml),0.46252,0.3745145,0.15787,0.42287,4.0,-0.29665723
TIMP-1 (pg/ml),IL-8 (pg/ml),0.45997,0.22327842,0.04402998,0.43159,4.0,0.4865096
TIMP-1 (pg/ml),OPG (ng/ml),0.45508,0.33806226,0.24125001,0.43006,4.0,-0.34207857
FGF2 (pg/ml),CA19-9 (U/ml),0.45416,0.4506917,0.2527,0.38874,4.0,-0.05889238
sFas (pg/ml),CD44 (ng/ml),0.45331,0.4280497,0.08685002,0.4062,4.0,-0.15893486
TIMP-1 (pg/ml),TGFa (pg/ml),0.45179,0.41316864,0.11895999,0.42318,4.0,-0.19652322
Thrombospondin-2 (pg/ml),G-CSF (pg/ml),0.44166,0.36684188,0.06299001,0.43263,4.0,0.273529
IL-8 (pg/ml),AFP (pg/ml),0.44111,0.43544132,0.074910015,0.43837,4.0,-0.075290605
TIMP-2 (pg/ml),HE4 (pg/ml),0.43436,0.43433338,0.03239,0.40961,4.0,-0.0051576234
sFas (pg/ml),OPG (ng/ml),0.43257,0.33758336,0.18824,0.41038,4.0,0.30819902
TIMP-2 (pg/ml),sFas (pg/ml),0.43143,0.35824835,0.107470006,0.43143,3.807355,-0.27052107
NSE (ng/ml),DKK1 (ng/ml),0.42794,0.25360298,0.037360013,0.38944,4.0,0.41753688
G-CSF (pg/ml),AFP (pg/ml),0.42525,0.4210738,0.054890007,0.40663,4.0,-0.06462355
