X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
TGFa (pg/ml),HE4 (pg/ml),0.88826,0.8446394,0.12987995,0.88826,5.7548876,0.20885545
TGFa (pg/ml),CYFRA 21-1 (pg/ml),0.86151,0.8331967,0.12371999,0.86151,5.7548876,0.16826542
HE4 (pg/ml),CYFRA 21-1 (pg/ml),0.85363,0.76742864,0.110790014,0.85363,5.7548876,0.29360074
IL-6 (pg/ml),CYFRA 21-1 (pg/ml),0.7848,0.7458746,0.28164002,0.7848,5.7548876,0.19729517
TGFa (pg/ml),IL-6 (pg/ml),0.78476,0.5208034,0.17140001,0.78476,5.7548876,0.51376706
TGFa (pg/ml),CA19-9 (U/ml),0.7514,0.75122166,0.28709,0.7514,5.7548876,0.013354702
CYFRA 21-1 (pg/ml),CA19-9 (U/ml),0.73172,0.68502647,0.16924,0.73172,5.7548876,0.2160868
CYFRA 21-1 (pg/ml),CA-125 (U/ml),0.70849,0.6722575,0.15256998,0.70849,5.70044,0.19034849
HE4 (pg/ml),FGF2 (pg/ml),0.70504,0.46856216,0.39680997,0.70504,5.7548876,0.48628986
HGF (pg/ml),CYFRA 21-1 (pg/ml),0.69137,0.664089,0.15961,0.69137,5.7548876,0.16516954
IL-6 (pg/ml),HE4 (pg/ml),0.68789,0.6307067,0.08908999,0.68789,5.7548876,0.23913027
TGFa (pg/ml),HGF (pg/ml),0.68659,0.6703572,0.18874002,0.68659,5.7548876,0.12740794
HE4 (pg/ml),CA19-9 (U/ml),0.6745,0.598135,0.18960002,0.66884,5.7548876,0.2763422
HGF (pg/ml),HE4 (pg/ml),0.67122,0.5941644,0.12213001,0.67122,5.7548876,0.27758893
TGFa (pg/ml),IL-8 (pg/ml),0.66005,0.6262149,0.09117001,0.66005,5.7548876,0.18394305
HE4 (pg/ml),CA-125 (U/ml),0.64503,0.60338104,0.12473002,0.64503,5.70044,0.2040808
IL-8 (pg/ml),HE4 (pg/ml),0.64354,0.568254,0.11532998,0.64354,5.70044,0.27438304
TGFa (pg/ml),CA-125 (U/ml),0.64154,0.618858,0.113189965,0.64154,5.7548876,0.15060557
FGF2 (pg/ml),CYFRA 21-1 (pg/ml),0.63289,0.5324684,0.35904,0.63289,5.7548876,0.3168937
HGF (pg/ml),CA19-9 (U/ml),0.60997,0.5623301,0.08007002,0.60997,5.7548876,0.2182656
IL-8 (pg/ml),CYFRA 21-1 (pg/ml),0.60858,0.5608958,0.18802002,0.60214,5.7548876,0.2183671
CA19-9 (U/ml),CA-125 (U/ml),0.60432,0.59447324,0.12494001,0.586,5.7548876,0.09923089
IL-6 (pg/ml),CA19-9 (U/ml),0.60391,0.603671,0.093300045,0.60391,5.7548876,0.015460567
TGFa (pg/ml),FGF2 (pg/ml),0.59864,0.5140341,0.31636003,0.59864,5.7548876,0.290871
TGFa (pg/ml),NSE (ng/ml),0.59457,0.59352213,0.44895998,0.59457,5.087463,0.032370795
TGFa (pg/ml),sFas (pg/ml),0.5914,0.5869374,0.32189,0.5914,5.7548876,0.066802524
TGFa (pg/ml),G-CSF (pg/ml),0.58914,0.5888441,0.07340002,0.58914,5.7548876,-0.017200422
TGFa (pg/ml),AFP (pg/ml),0.58721,0.57739866,0.13809001,0.58721,5.7548876,0.099052124
G-CSF (pg/ml),CYFRA 21-1 (pg/ml),0.58448,0.57667834,0.10582,0.58448,5.7548876,0.08832688
CYFRA 21-1 (pg/ml),AFP (pg/ml),0.57645,0.576137,0.11418003,0.57645,5.7548876,0.017690819
NSE (ng/ml),HE4 (pg/ml),0.56976,0.5666423,0.35607,0.56976,5.643856,0.055836722
IL-8 (pg/ml),CA19-9 (U/ml),0.56836,0.55876744,0.124249995,0.56836,5.7548876,0.097941585
IL-8 (pg/ml),HGF (pg/ml),0.56714,0.5539534,0.13034001,0.55767,5.6724253,0.11483274
sFas (pg/ml),HE4 (pg/ml),0.55135,0.53361976,0.29297,0.55135,5.643856,0.13315496
IL-6 (pg/ml),CA-125 (U/ml),0.54074,0.5264271,0.17863,0.54074,5.7548876,0.11963665
