X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
CD44 (ng/ml),AXL (pg/ml),0.67954,0.43799525,0.06257999,0.58713,3.321928,0.49147198
TGFa (pg/ml),sFas (pg/ml),0.65425,0.5699823,0.086109996,0.61459,3.321928,-0.2902891
CA 15-3 (U/ml),CA-125 (U/ml),0.63234,0.5113505,0.057069957,0.60097,3.321928,0.34783545
sFas (pg/ml),G-CSF (pg/ml),0.60518,0.60201406,0.26228002,0.53834,3.321928,-0.056267064
sFas (pg/ml),IL-6 (pg/ml),0.60518,0.5934346,0.07871002,0.60518,2.5849626,-0.108376525
TGFa (pg/ml),G-CSF (pg/ml),0.5971,0.58927536,0.32525003,0.41614,3.321928,0.088457204
TGFa (pg/ml),IL-6 (pg/ml),0.5971,0.58728886,0.25182003,0.56635,3.321928,0.09905133
Thrombospondin-2 (pg/ml),TGFa (pg/ml),0.59135,0.5844434,0.28425002,0.46363,3.321928,0.08310602
TGFa (pg/ml),HE4 (pg/ml),0.58925,0.586293,0.32938004,0.52678,3.321928,0.054378968
TIMP-1 (pg/ml),OPG (ng/ml),0.5813,0.30061483,0.119429976,0.54365,3.321928,0.5297973
sPECAM-1 (pg/ml),AXL (pg/ml),0.55436,0.37004298,0.08860996,0.52497,3.321928,0.42932156
NSE (ng/ml),Myeloperoxidase (ng/ml),0.55335,0.54818064,0.07372999,0.51324,3.321928,0.07189819
Myeloperoxidase (ng/ml),HGF (pg/ml),0.55048,0.47074178,0.10639,0.48552,3.321928,0.2823796
TIMP-1 (pg/ml),sFas (pg/ml),0.54509,0.544658,0.13120002,0.502,3.321928,-0.02078531
Mesothelin (ng/ml),Kallikrein-6 (pg/ml),0.54123,0.52922267,0.042890012,0.50524,3.321928,0.10957801
Mesothelin (ng/ml),CA-125 (U/ml),0.53581,0.52683914,0.09772,0.47222,3.321928,0.094714634
TGFa (pg/ml),sHER2/sEGFR2/sErbB2 (pg/ml),0.52611,0.44030222,0.19999,0.4888,3.321928,-0.29292965
NSE (ng/ml),HGF (pg/ml),0.51922,0.5026429,0.25430998,0.4782,3.321928,0.1287519
IL-8 (pg/ml),CYFRA 21-1 (pg/ml),0.51921,0.39457738,0.13922998,0.46862,3.321928,0.35303342
Midkine (pg/ml),IL-8 (pg/ml),0.51871,0.37093118,0.11579001,0.41621,3.321928,0.38442013
TGFa (pg/ml),FGF2 (pg/ml),0.51758,0.41721824,0.19412997,0.48971,3.321928,0.3167992
HGF (pg/ml),AFP (pg/ml),0.50694,0.47825032,0.25849003,0.40728,3.321928,-0.16938026
CA19-9 (U/ml),CA-125 (U/ml),0.49206,0.39532754,0.047859997,0.45762,3.321928,0.31101844
sHER2/sEGFR2/sErbB2 (pg/ml),AXL (pg/ml),0.49162,0.2062625,0.03076002,0.42836,3.321928,0.5341886
Prolactin (pg/ml),OPG (ng/ml),0.48983,0.35964555,0.08563998,0.43265,3.321928,-0.36081082
IL-6 (pg/ml),G-CSF (pg/ml),0.48561,0.38442948,0.06705001,0.3552,3.321928,0.31808886
HGF (pg/ml),FGF2 (pg/ml),0.48232,0.46082547,0.18922,0.43525,3.321928,0.14661016
sFas (pg/ml),HGF (pg/ml),0.46731,0.46711752,0.1884,0.41756,3.321928,0.01387454
sFas (pg/ml),FGF2 (pg/ml),0.46689,0.4463308,0.10350001,0.42918,3.321928,-0.14338487
TIMP-2 (pg/ml),Galectin-3 (ng/ml),0.46512,0.3934951,0.16578999,0.43051,3.321928,0.26762825
TGFa (pg/ml),CYFRA 21-1 (pg/ml),0.4617,0.44483683,0.20372999,0.42463,3.321928,0.1298583
Myeloperoxidase (ng/ml),Galectin-3 (ng/ml),0.46058,0.42125478,0.111229986,0.39882,3.321928,0.19830582
OPG (ng/ml),Myeloperoxidase (ng/ml),0.45958,0.426107,0.04969001,0.42522,3.321928,0.18295634
TGFa (pg/ml),AFP (pg/ml),0.45771,0.45447397,0.28941,0.4177,3.321928,0.056886133
sPECAM-1 (pg/ml),sEGFR (pg/ml),0.45374,0.29860246,0.041119993,0.3937,3.321928,0.393875
Kallikrein-6 (pg/ml),CA-125 (U/ml),0.45277,0.030029714,0.15647998,0.38962,3.321928,0.6501848
sFas (pg/ml),CD44 (ng/ml),0.45213,0.44984433,0.121769994,0.44198,3.321928,-0.047808673
TIMP-1 (pg/ml),HGF (pg/ml),0.45014,0.338195,0.094280005,0.45014,2.5849626,0.33458182
OPG (ng/ml),HGF (pg/ml),0.44971,0.23751146,0.07617,0.38287,3.321928,0.46065015
Kallikrein-6 (pg/ml),CA 15-3 (U/ml),0.44864,0.33346403,0.06667,0.39002,3.321928,0.33937585
sHER2/sEGFR2/sErbB2 (pg/ml),IL-6 (pg/ml),0.44722,0.4123838,0.25874,0.42252,3.321928,0.18664458
Leptin (pg/ml),CD44 (ng/ml),0.44444,0.4426638,0.28896,0.32623,3.321928,-0.042145096
NSE (ng/ml),FGF2 (pg/ml),0.44334,0.44127032,0.08726999,0.40679,3.321928,0.045493875
Midkine (pg/ml),G-CSF (pg/ml),0.44305,0.43317816,0.2368,0.3456,3.321928,0.09935707
TGFa (pg/ml),IL-8 (pg/ml),0.44046,0.3760219,0.23932,0.40661,3.321928,0.25384662
CA19-9 (U/ml),CA 15-3 (U/ml),0.43872,0.43599623,0.11225,0.38623,3.321928,-0.052189674
Midkine (pg/ml),Mesothelin (ng/ml),0.4383,0.41125792,0.04621002,0.39143,3.321928,0.16444483
Prolactin (pg/ml),Galectin-3 (ng/ml),0.43131,0.37146893,0.095369995,0.39944,3.321928,-0.24462432
PAR (pg/ml),DKK1 (ng/ml),0.43123,0.32698652,0.0812,0.39373,3.321928,0.3228676
PAR (pg/ml),GDF15 (ng/ml),0.43027,0.40177542,0.13397998,0.39931,3.321928,0.16880332
Thrombospondin-2 (pg/ml),sFas (pg/ml),0.42841,0.32422808,0.10960999,0.34573,3.321928,0.32277223
IL-6 (pg/ml),FGF2 (pg/ml),0.42273,0.41685766,0.21586,0.41129,3.321928,0.076631285
NSE (ng/ml),CA-125 (U/ml),0.42213,0.4221239,0.13527,0.28844,3.321928,0.0024667261
IL-6 (pg/ml),HGF (pg/ml),0.42119,0.4198394,0.10709,0.34653,3.321928,0.036750074
sFas (pg/ml),OPN (pg/ml),0.42109,0.40204084,0.10273999,0.38851,3.321928,-0.13801868
G-CSF (pg/ml),AFP (pg/ml),0.42026,0.41495436,0.20871001,0.33532,3.321928,-0.0728398
TIMP-2 (pg/ml),TIMP-1 (pg/ml),0.41629,0.22823352,0.16441,0.37641,3.321928,0.4336548
Thrombospondin-2 (pg/ml),Angiopoietin-2 (pg/ml),0.41574,0.37305525,0.24216,0.34584,3.321928,0.20660292
Thrombospondin-2 (pg/ml),HE4 (pg/ml),0.41563,0.4134645,0.17929,0.35775,3.321928,0.046535175
sHER2/sEGFR2/sErbB2 (pg/ml),sEGFR (pg/ml),0.4141,0.16083974,0.06093,0.36308,3.321928,0.5032497
HE4 (pg/ml),FGF2 (pg/ml),0.41129,0.41094264,0.111959994,0.2886,3.321928,0.01863736
G-CSF (pg/ml),Galectin-3 (ng/ml),0.40957,0.40954763,0.13618001,0.35206,3.321928,0.004730382
TIMP-2 (pg/ml),sPECAM-1 (pg/ml),0.40893,0.28042686,0.13081,0.34324,3.321928,0.35847336
sHER2/sEGFR2/sErbB2 (pg/ml),G-CSF (pg/ml),0.40813,0.40172228,0.17901999,0.30759,3.321928,0.08004811
Thrombospondin-2 (pg/ml),IL-6 (pg/ml),0.40808,0.4080039,0.16743001,0.32421,3.321928,-0.00872382
sPECAM-1 (pg/ml),DKK1 (ng/ml),0.40735,0.33237347,0.11581001,0.34158,3.321928,0.27381843
HGF (pg/ml),G-CSF (pg/ml),0.40694,0.20708162,0.15371001,0.36037,3.321928,0.44705525
sPECAM-1 (pg/ml),PAR (pg/ml),0.40669,0.30009854,0.035239995,0.34151,3.321928,0.3264835
OPG (ng/ml),CA 15-3 (U/ml),0.4064,0.40602604,0.17756,0.354,3.321928,0.019338097
TIMP-1 (pg/ml),CD44 (ng/ml),0.4036,0.31409624,0.15682001,0.27968,3.321928,-0.2991718
TIMP-1 (pg/ml),DKK1 (ng/ml),0.40306,0.2983873,0.039470002,0.32755,3.321928,0.32353163
CD44 (ng/ml),CA 15-3 (U/ml),0.40217,0.3581669,0.17226,0.34499,3.321928,-0.20976916
Prolactin (pg/ml),CD44 (ng/ml),0.40031,0.39938265,0.16630001,0.25936,3.321928,0.030452797
sPECAM-1 (pg/ml),CD44 (ng/ml),0.40006,0.3602719,0.018260002,0.35926,3.321928,0.19946955
G-CSF (pg/ml),FGF2 (pg/ml),0.39923,0.36980787,0.25480002,0.35946,3.321928,-0.17152882
FGF2 (pg/ml),CA-125 (U/ml),0.39883,0.35453647,0.10690001,0.30794,3.321928,0.21046023
Kallikrein-6 (pg/ml),CYFRA 21-1 (pg/ml),0.39875,-0.023444027,0.016149998,0.35266,3.321928,0.6497646
TIMP-2 (pg/ml),CYFRA 21-1 (pg/ml),0.39669,0.34198087,0.19502,0.30836,3.321928,0.23389983
TIMP-2 (pg/ml),DKK1 (ng/ml),0.39623,0.3461195,0.05389999,0.34254,3.321928,0.22385378
OPN (pg/ml),CA-125 (U/ml),0.39584,0.2479867,0.12039,0.35266,3.321928,0.38451695
CYFRA 21-1 (pg/ml),CA 15-3 (U/ml),0.39512,0.38245937,0.02827999,0.39512,2.5849626,0.11251937
TIMP-1 (pg/ml),G-CSF (pg/ml),0.39377,0.37656972,0.041079998,0.34008,3.321928,0.13114984
