X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
TGFa (pg/ml),HE4 (pg/ml),0.76653,0.758764,0.12533998,0.76653,3.807355,0.08812467
sFas (pg/ml),IL-6 (pg/ml),0.73044,0.3735007,0.091370046,0.73044,3.321928,-0.597444
TGFa (pg/ml),G-CSF (pg/ml),0.62821,0.6187203,0.15040997,0.62821,3.807355,0.09741518
IL-6 (pg/ml),HE4 (pg/ml),0.5952,0.584724,0.051510006,0.5952,3.807355,0.102352336
TIMP-1 (pg/ml),Thrombospondin-2 (pg/ml),0.57978,0.11228186,0.09197,0.57978,3.807355,0.68373835
TGFa (pg/ml),CYFRA 21-1 (pg/ml),0.57652,0.54850864,0.23763004,0.57652,3.807355,0.1673661
IL-6 (pg/ml),G-CSF (pg/ml),0.57619,0.53547716,0.12893999,0.57619,3.321928,0.20177424
sFas (pg/ml),G-CSF (pg/ml),0.57619,0.5761843,0.21074,0.57619,3.321928,0.0023884755
TIMP-1 (pg/ml),IL-8 (pg/ml),0.56388,0.13628715,0.08343002,0.56388,3.807355,0.65390587
HE4 (pg/ml),G-CSF (pg/ml),0.54511,0.47100914,0.08778,0.54511,3.807355,0.27221474
PAR (pg/ml),DKK1 (ng/ml),0.54153,0.33814424,0.25335002,0.54153,3.807355,0.45098314
TGFa (pg/ml),IL-6 (pg/ml),0.52419,0.5241776,0.20493999,0.52419,3.807355,0.0035250087
TGFa (pg/ml),sFas (pg/ml),0.51238,0.47314656,0.14829001,0.51238,3.807355,0.19807439
TIMP-1 (pg/ml),AXL (pg/ml),0.49262,0.4022436,0.19733998,0.49262,3.807355,0.30062664
OPG (ng/ml),GDF15 (ng/ml),0.49099,0.25947496,0.089920014,0.49099,3.807355,0.4811601
Thrombospondin-2 (pg/ml),GDF15 (ng/ml),0.48502,0.19478181,0.13708,0.48502,3.807355,0.5387376
Thrombospondin-2 (pg/ml),sHER2/sEGFR2/sErbB2 (pg/ml),0.48327,0.3074265,0.050349995,0.48327,3.807355,0.41933694
IL-8 (pg/ml),GDF15 (ng/ml),0.47783,0.30159843,0.01132001,0.47783,3.807355,0.41979942
Thrombospondin-2 (pg/ml),IL-8 (pg/ml),0.47303,0.13351306,0.059439987,0.47303,3.807355,0.5826808
NSE (ng/ml),HGF (pg/ml),0.46551,0.46269056,0.15006,0.46551,3.807355,0.053098414
TIMP-1 (pg/ml),PAR (pg/ml),0.46049,0.30655408,0.068369985,0.46049,3.807355,0.39234668
TGFa (pg/ml),NSE (ng/ml),0.45904,0.4528797,0.16467002,0.45904,3.5849626,0.07848755
TIMP-1 (pg/ml),GDF15 (ng/ml),0.45655,0.24448712,0.036080003,0.45655,3.807355,0.46050286
sFas (pg/ml),HE4 (pg/ml),0.45618,0.4527518,0.074339986,0.45618,3.807355,0.058551077
TIMP-2 (pg/ml),TIMP-1 (pg/ml),0.45361,0.30759305,0.088780016,0.45361,3.807355,0.38212162
sFas (pg/ml),OPG (ng/ml),0.4503,0.23401533,0.07934001,0.4503,3.807355,0.46506417
Myeloperoxidase (ng/ml),HGF (pg/ml),0.44732,0.4321656,0.12889001,0.44732,3.807355,0.123103246
Midkine (pg/ml),IL-8 (pg/ml),0.44037,0.43738312,0.124930024,0.44037,3.807355,0.054652255
SHBG (nM),sFas (pg/ml),0.43894,0.40804845,0.13094997,0.43894,3.807355,-0.17575993
