X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
Myeloperoxidase (ng/ml),HGF (pg/ml),0.66959,0.3713456,0.027859986,0.66959,4.0,0.54611754
TGFa (pg/ml),HGF (pg/ml),0.64923,0.62740505,0.13795999,0.64923,4.0,0.1477328
TGFa (pg/ml),HE4 (pg/ml),0.63024,-0.052971005,0.19138002,0.63024,4.0,0.8265658
TGFa (pg/ml),IL-8 (pg/ml),0.6253,0.6252421,0.09287,0.6253,4.0,0.007609396
IL-8 (pg/ml),HGF (pg/ml),0.60165,0.5860334,0.03661999,0.60165,4.0,0.124966495
Myeloperoxidase (ng/ml),Galectin-3 (ng/ml),0.59274,0.45288944,0.08168,0.59274,4.0,0.373966
HE4 (pg/ml),AFP (pg/ml),0.58349,0.58327174,0.23269,0.58349,4.0,-0.014774879
HE4 (pg/ml),CYFRA 21-1 (pg/ml),0.56502,0.5649709,0.14379004,0.56502,4.0,-0.007006424
TGFa (pg/ml),Myeloperoxidase (ng/ml),0.55439,0.5524048,0.07328999,0.55439,4.0,0.044555742
Myeloperoxidase (ng/ml),IL-8 (pg/ml),0.55311,0.5376521,0.07045001,0.55311,4.0,0.12432994
TGFa (pg/ml),DKK1 (ng/ml),0.54368,0.48799008,0.046990007,0.54368,4.0,0.23598714
TIMP-1 (pg/ml),IL-6 (pg/ml),0.53428,0.25852665,0.04313001,0.53428,4.0,0.5251222
HE4 (pg/ml),FGF2 (pg/ml),0.51791,0.40197784,0.1832,0.51791,4.0,0.34048814
Thrombospondin-2 (pg/ml),TGFa (pg/ml),0.51721,0.4954909,0.28592002,0.51721,4.0,0.14737405
TGFa (pg/ml),CYFRA 21-1 (pg/ml),0.51012,0.5100949,0.24230999,0.51012,4.0,0.0050109923
TGFa (pg/ml),Galectin-3 (ng/ml),0.50588,0.505858,0.071370006,0.50588,3.5849626,0.004691396
TGFa (pg/ml),AFP (pg/ml),0.50284,0.5027298,0.22836,0.50284,4.0,-0.010498457
IL-8 (pg/ml),DKK1 (ng/ml),0.49276,0.4853109,0.09549001,0.49276,4.0,0.08630819
IL-8 (pg/ml),IL-6 (pg/ml),0.49027,0.4873703,0.103159994,0.49027,4.0,0.053848594
Myeloperoxidase (ng/ml),IL-6 (pg/ml),0.48856,0.4872494,0.09877001,0.48856,4.0,0.03620206
IL-6 (pg/ml),HGF (pg/ml),0.48617,0.44366515,0.050530016,0.48617,4.0,0.20616704
Thrombospondin-2 (pg/ml),HE4 (pg/ml),0.48426,0.30276906,0.2432,0.48426,4.0,0.42601752
CA19-9 (U/ml),CA-125 (U/ml),0.4803,0.42735916,0.07647002,0.4803,4.0,0.23008876
