gene	Mutation Type	dead	alive	percentage
PLXNA1	Silent	1.0	4.0	20.0
ACSM5	Missense_Mutation	1.0	5.0	16.666666666666664
PPP1R9A	Missense_Mutation	2.0	4.0	33.33333333333333
ZBTB39	Missense_Mutation	2.0	4.0	33.33333333333333
ARHGAP32	Missense_Mutation	3.0	2.0	60.0
KIAA0355	Missense_Mutation	3.0	2.0	60.0
ZNF814	Missense_Mutation	11.0	13.0	45.83333333333333
ACTL7B	Missense_Mutation	2.0	3.0	40.0
TBC1D8B	Missense_Mutation	3.0	3.0	50.0
ZFHX4	Missense_Mutation	2.0	10.0	16.666666666666664
KIFC3	Missense_Mutation	1.0	4.0	20.0
ADAMTS12	Silent	4.0	6.0	40.0
AHRR	Silent	3.0	4.0	42.857142857142854
AFP	Missense_Mutation	3.0	2.0	60.0
NLRP2	Missense_Mutation	3.0	7.0	30.0
GABRA6	Missense_Mutation	11.0	5.0	68.75
ARHGEF2	Missense_Mutation	1.0	4.0	20.0
HCN1	Missense_Mutation	12.0	2.0	85.71428571428571
TLR9	Missense_Mutation	3.0	4.0	42.857142857142854
EPG5	Missense_Mutation	2.0	7.0	22.22222222222222
RREB1	Missense_Mutation	1.0	6.0	14.285714285714285
FAM47B	Missense_Mutation	5.0	4.0	55.55555555555556
MPPED1	Missense_Mutation	2.0	3.0	40.0
PLEKHG4B	Missense_Mutation	8.0	2.0	80.0
CNOT2	Missense_Mutation	4.0	2.0	66.66666666666666
CSMD3	Silent	2.0	5.0	28.57142857142857
PKD1L1	Missense_Mutation	6.0	9.0	40.0
MAP3K19	Missense_Mutation	2.0	3.0	40.0
HDC	Missense_Mutation	3.0	2.0	60.0
FXR2	Missense_Mutation	1.0	5.0	16.666666666666664
NOTCH1	Missense_Mutation	4.0	21.0	16.0
MCF2L	Missense_Mutation	2.0	3.0	40.0
PPFIBP2	Missense_Mutation	0.0	5.0	0.0
FCGBP	Missense_Mutation	12.0	7.0	63.1578947368421
SPG7	Missense_Mutation	1.0	4.0	20.0
LILRB2	Missense_Mutation	2.0	5.0	28.57142857142857
